MJ文字図形名,部首1,内画数1
MJ文字図形名,部首2,内画数2
MJ文字図形名,部首3,内画数3
MJ文字図形名,部首4,内画数4
MJ000308,29,2
MJ000309,29,2
MJ000310,29,2
MJ000311,29,4
MJ000312,29,4
MJ000312,30,3
MJ000313,29,5
MJ000314,29,6
MJ000315,29,7
MJ000316,172,4
MJ000317,29,12
MJ000318,29,12
MJ000319,154,7
MJ000320,30,2
MJ000321,30,2
MJ000322,30,2
MJ000323,30,3
MJ000324,30,3
MJ000325,30,3
MJ000326,30,4
MJ000327,30,4
MJ000328,30,4
MJ000329,30,4
MJ000330,30,4
MJ000331,30,4
MJ000332,30,4
MJ000333,30,4
MJ000334,30,4
MJ000335,30,4
MJ000336,30,4
MJ000337,30,4
MJ000338,30,4
MJ000339,30,4
MJ000340,30,4
MJ000341,30,5
MJ000342,30,5
MJ000343,30,5
MJ000344,30,5
MJ000345,30,5
MJ000346,30,5
MJ000348,30,6
MJ000349,30,6
MJ000350,30,6
MJ000351,30,6
MJ000352,30,6
MJ000353,30,6
MJ000354,30,6
MJ000355,30,6
MJ000356,30,7
MJ000357,30,7
MJ000358,30,7
MJ000359,30,7
MJ000360,30,7
MJ000361,30,7
MJ000362,30,7
MJ000363,30,7
MJ000364,30,7
MJ000365,30,7
MJ000366,30,8
MJ000367,30,8
MJ000368,30,8
MJ000369,30,9
MJ000370,30,8
MJ000371,30,8
MJ000372,30,8
MJ000373,30,8
MJ000374,30,8
MJ000375,30,8
MJ000376,30,8
MJ000377,30,8
MJ000378,30,8
MJ000379,140,7
MJ000380,30,9
MJ000381,30,9
MJ000382,30,9
MJ000383,30,9
MJ000384,30,9
MJ000385,30,9
MJ000386,30,9
MJ000387,30,9
MJ000388,30,9
MJ000389,30,9
MJ000390,30,9
MJ000391,30,9
MJ000392,30,9
MJ000393,30,9
MJ000394,30,9
MJ000395,30,9
MJ000396,30,9
MJ000397,30,9
MJ000398,30,9
MJ000399,30,9
MJ000400,30,9
MJ000401,30,9
MJ000402,30,9
MJ000403,30,9
MJ000404,30,10
MJ000405,30,10
MJ000406,30,10
MJ000407,30,10
MJ000408,30,10
MJ000409,30,10
MJ000410,30,10
MJ000411,30,10
MJ000412,30,10
MJ000413,30,10
MJ000414,30,10
MJ000415,30,10
MJ000416,30,10
MJ000417,30,11
MJ000418,30,11
MJ000419,30,11
MJ000420,30,11
MJ000421,30,11
MJ000422,30,11
MJ000423,30,11
MJ000424,30,11
MJ000425,30,11
MJ000426,30,11
MJ000427,30,11
MJ000428,30,11
MJ000429,30,12
MJ000430,30,12
MJ000431,30,12
MJ000432,30,12
MJ000433,30,12
MJ000434,30,12
MJ000435,30,12
MJ000436,30,12
MJ000437,30,13
MJ000438,30,13
MJ000439,30,13
MJ000440,30,13
MJ000441,30,13
MJ000442,30,13
MJ000443,30,13
MJ000444,30,13
MJ000445,30,14
MJ000446,30,14
MJ000447,30,14
MJ000448,30,14
MJ000449,30,15
MJ000450,30,15
MJ000451,30,15
MJ000452,30,15
MJ000453,30,15
MJ000454,30,16
MJ000455,30,16
MJ000456,30,17
MJ000457,30,18
MJ000458,30,18
MJ000459,30,20
MJ000460,30,22
MJ000461,30,23
MJ000462,31,2
MJ000463,31,2
MJ000464,19,3
MJ000464,31,2
MJ000465,31,3
MJ000466,31,5
MJ000467,31,5
MJ000468,31,6
MJ000469,31,7
MJ000470,31,12
MJ000471,31,17
MJ000472,32,2
MJ000473,32,4
MJ000474,32,4
MJ000476,32,4
MJ000477,32,4
MJ000478,32,4
MJ000479,32,4
MJ000480,32,4
MJ000481,32,4
MJ000482,32,5
MJ000483,32,5
MJ000484,32,5
MJ000485,32,5
MJ000486,32,5
MJ000487,32,6
MJ000488,32,6
MJ000489,32,6
MJ000490,32,5
MJ000491,32,6
MJ000492,32,6
MJ000493,32,7
MJ000494,32,7
MJ000495,32,7
MJ000496,32,7
MJ000498,32,7
MJ000499,32,7
MJ000499,170,10
MJ000500,32,7
MJ000501,32,7
MJ000502,32,8
MJ000503,32,8
MJ000504,32,8
MJ000505,32,8
MJ000506,32,9
MJ000507,32,9
MJ000508,32,9
MJ000509,32,9
MJ000511,32,9
MJ000511,166,5
MJ000513,32,9
MJ000514,32,9
MJ000515,32,9
MJ000517,32,10
MJ000518,32,10
MJ000519,32,10
MJ000520,32,10
MJ000522,32,10
MJ000523,32,10
MJ000524,32,11
MJ000525,32,11
MJ000526,32,11
MJ000527,32,11
MJ000528,32,11
MJ000529,32,11
MJ000530,32,12
MJ000531,32,12
MJ000532,32,12
MJ000533,32,12
MJ000534,32,12
MJ000535,32,12
MJ000536,28,13
MJ000537,32,13
MJ000538,32,13
MJ000539,32,13
MJ000540,32,13
MJ000541,32,13
MJ000542,32,13
MJ000543,32,13
MJ000544,32,14
MJ000545,32,14
MJ000546,32,14
MJ000547,32,14
MJ000548,32,15
MJ000549,32,15
MJ000550,32,16
MJ000551,32,17
MJ000552,32,21
MJ000553,32,22
MJ000554,33,9
MJ000555,34,6
MJ000556,34,6
MJ000556,35,6
MJ000557,35,6
MJ000558,24,3
MJ000558,36,2
MJ000559,36,5
MJ000560,36,5
MJ000562,36,9
MJ000563,36,11
MJ000564,36,11
MJ000565,36,15
MJ000566,37,3
MJ000567,37,3
MJ000568,37,3
MJ000569,37,4
MJ000570,37,4
MJ000571,37,5
MJ000572,37,5
MJ000573,37,5
MJ000574,37,5
MJ000575,37,5
MJ000576,37,5
MJ000577,37,6
MJ000578,37,8
MJ000579,37,8
MJ000580,37,8
MJ000581,37,10
MJ000582,30,13
MJ000583,9,3
MJ000584,38,2
MJ000585,38,3
MJ000586,38,3
MJ000587,38,3
MJ000588,38,3
MJ000589,38,3
MJ000590,38,4
MJ000591,38,4
MJ000592,38,4
MJ000594,38,4
MJ000595,38,4
MJ000596,38,4
MJ000597,38,5
MJ000598,38,5
MJ000599,38,5
MJ000600,38,5
MJ000601,38,5
MJ000602,38,5
MJ000603,38,5
MJ000604,38,5
MJ000605,38,5
MJ000606,38,5
MJ000607,38,5
MJ000608,38,5
MJ000609,38,5
MJ000610,38,5
MJ000611,38,5
MJ000612,38,5
MJ000613,38,5
MJ000614,38,6
MJ000615,38,6
MJ000618,38,6
MJ000619,38,6
MJ000620,38,6
MJ000621,38,7
MJ000622,38,7
MJ000623,38,7
MJ000624,38,7
MJ000625,38,7
MJ000626,38,7
MJ000627,38,7
MJ000628,38,7
MJ000629,38,7
MJ000630,38,7
MJ000631,38,7
MJ000632,38,7
MJ000633,38,7
MJ000634,38,7
MJ000635,38,7
MJ000636,38,7
MJ000637,38,7
MJ000638,38,7
MJ000639,38,8
MJ000640,38,8
MJ000641,38,8
MJ000642,38,8
MJ000643,38,8
MJ000644,38,8
MJ000645,38,8
MJ000646,38,8
MJ000647,38,8
MJ000648,38,9
MJ000649,38,9
MJ000650,38,9
MJ000651,38,9
MJ000652,38,9
MJ000653,38,9
MJ000654,38,9
MJ000655,38,9
MJ000656,38,9
MJ000657,38,9
MJ000658,38,9
MJ000659,38,9
MJ000660,38,9
MJ000661,38,9
MJ000662,38,9
MJ000663,38,9
MJ000664,38,10
MJ000665,38,9
MJ000666,38,9
MJ000667,38,9
MJ000668,38,9
MJ000669,38,9
MJ000670,38,10
MJ000671,38,10
MJ000672,38,10
MJ000673,38,10
MJ000674,38,10
MJ000675,38,10
MJ000676,38,10
MJ000677,38,10
MJ000678,38,10
MJ000679,38,10
MJ000680,38,10
MJ000681,38,10
MJ000682,38,10
MJ000683,38,10
MJ000684,38,10
MJ000685,38,11
MJ000686,38,11
MJ000687,38,11
MJ000688,38,11
MJ000689,38,11
